Sample,Live_CD45_of_Total,DC,Macrophages,Monocytes,Neutrophils,Group,Mouse,Day,Sac_TEWL,Sac_Score
Specimen_001_Mouse_001.fcs,63650,10614,7438,7469,27725,PBS,1,1,65.1,NA
Specimen_001_Mouse_002.fcs,53256,7563,5340,6340,17558,PBS,2,1,65.5,NA
Specimen_001_Mouse_003.fcs,61514,13802,8022,7014,21868,PBS,3,1,74.2,NA
Specimen_001_Mouse_004.fcs,28087,2322,1726,1371,11402,PBS,4,1,61,NA
Specimen_001_Mouse_005.fcs,32774,3897,1454,2708,15874,PBS,5,1,65,NA
Specimen_001_Mouse_006.fcs,22505,4684,2306,2916,4648,Sepi44,1,1,69.3,NA
Specimen_001_Mouse_007.fcs,22183,1782,858,2229,6653,Sepi44,2,1,71.4,NA
Specimen_001_Mouse_008.fcs,25228,3488,1248,4456,5166,Sepi44,3,1,71.9,NA
Specimen_001_Mouse_009.fcs,17096,2046,627,1830,3670,Sepi44,4,1,71,NA
Specimen_001_Mouse_010.fcs,17866,1708,726,2426,3485,Sepi44,5,1,71.1,NA
spf35_day4_Mouse_011.fcs,18038,492,1422,486,1762,PBS,1,4,30.5,2
spf35_day4_Mouse_012.fcs,14191,544,1567,281,160,PBS,2,4,38.2,0
spf35_day4_Mouse_013.fcs,11827,463,1049,416,1980,PBS,3,4,51,2
spf35_day4_Mouse_014.fcs,14579,382,948,382,2166,PBS,4,4,21.5,4
spf35_day4_Mouse_015.fcs,14049,399,1467,113,74,PBS,5,4,16.1,1
spf35_day4_Mouse_016.fcs,33389,550,1072,883,18447,Sepi44,1,4,63.4,6
spf35_day4_Mouse_017.fcs,15935,238,441,259,8354,Sepi44,2,4,58,5
spf35_day4_Mouse_018.fcs,15867,504,1512,335,431,Sepi44,3,4,18.3,2
spf35_day4_Mouse_019.fcs,8593,58,70,87,4884,Sepi44,4,4,39.7,3
spf35_day4_Mouse_020.fcs,2511,4,5,14,337,Sepi44,5,4,18.9,4