,Unnamed: 0,Cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,expandlist
35,36,d4,GO:0046961,"proton-transporting ATPase activity, rotational mechanism",10/1456,23/22537,6.45791466081031e-07,3.93932794309429e-05,3.3717112334336e-05,ENSMUSG00000015575/ENSMUSG00000006273/ENSMUSG00000024121/ENSMUSG00000022295/ENSMUSG00000033379/ENSMUSG00000039105/ENSMUSG00000004285/ENSMUSG00000013160/ENSMUSG00000021114/ENSMUSG00000025393,10,"['ENSMUSG00000015575', 'ENSMUSG00000006273', 'ENSMUSG00000024121', 'ENSMUSG00000022295', 'ENSMUSG00000033379', 'ENSMUSG00000039105', 'ENSMUSG00000004285', 'ENSMUSG00000013160', 'ENSMUSG00000021114', 'ENSMUSG00000025393']"
36,37,d4,GO:0015399,primary active transmembrane transporter activity,26/1456,141/22537,1.10082034679671e-06,6.29531635824367e-05,5.38822590800494e-05,ENSMUSG00000015575/ENSMUSG00000025968/ENSMUSG00000006273/ENSMUSG00000024121/ENSMUSG00000022295/ENSMUSG00000033379/ENSMUSG00000022822/ENSMUSG00000039105/ENSMUSG00000022551/ENSMUSG00000000088/ENSMUSG00000004285/ENSMUSG00000033938/ENSMUSG00000059734/ENSMUSG00000093904/ENSMUSG00000013160/ENSMUSG00000026260/ENSMUSG00000030730/ENSMUSG00000029467/ENSMUSG00000037916/ENSMUSG00000021114/ENSMUSG00000019943/ENSMUSG00000027712/ENSMUSG00000025393/ENSMUSG00000038717/ENSMUSG00000026944/ENSMUSG00000020153,26,"['ENSMUSG00000015575', 'ENSMUSG00000025968', 'ENSMUSG00000006273', 'ENSMUSG00000024121', 'ENSMUSG00000022295', 'ENSMUSG00000033379', 'ENSMUSG00000022822', 'ENSMUSG00000039105', 'ENSMUSG00000022551', 'ENSMUSG00000000088', 'ENSMUSG00000004285', 'ENSMUSG00000033938', 'ENSMUSG00000059734', 'ENSMUSG00000093904', 'ENSMUSG00000013160', 'ENSMUSG00000026260', 'ENSMUSG00000030730', 'ENSMUSG00000029467', 'ENSMUSG00000037916', 'ENSMUSG00000021114', 'ENSMUSG00000019943', 'ENSMUSG00000027712', 'ENSMUSG00000025393', 'ENSMUSG00000038717', 'ENSMUSG00000026944', 'ENSMUSG00000020153']"
37,38,d4,GO:0003779,actin binding,56/1456,447/22537,1.5477506073491e-06,8.33054003367307e-05,7.13019474840698e-05,ENSMUSG00000029761/ENSMUSG00000029622/ENSMUSG00000018340/ENSMUSG00000028116/ENSMUSG00000008475/ENSMUSG00000056201/ENSMUSG00000009687/ENSMUSG00000061723/ENSMUSG00000049134/ENSMUSG00000028464/ENSMUSG00000053931/ENSMUSG00000020315/ENSMUSG00000030770/ENSMUSG00000061086/ENSMUSG00000029465/ENSMUSG00000079426/ENSMUSG00000026755/ENSMUSG00000015804/ENSMUSG00000025813/ENSMUSG00000006304/ENSMUSG00000052727/ENSMUSG00000031636/ENSMUSG00000031799/ENSMUSG00000038775/ENSMUSG00000079523/ENSMUSG00000021493/ENSMUSG00000025026/ENSMUSG00000025130/ENSMUSG00000028273/ENSMUSG00000028649/ENSMUSG00000026950/ENSMUSG00000026418/ENSMUSG00000058056/ENSMUSG00000063450/ENSMUSG00000029581/ENSMUSG00000032366/ENSMUSG00000020900/ENSMUSG00000034595/ENSMUSG00000039630/ENSMUSG00000005417/ENSMUSG00000022836/ENSMUSG00000019433/ENSMUSG00000018293/ENSMUSG00000031078/ENSMUSG00000027115/ENSMUSG00000009073/ENSMUSG00000055775/ENSMUSG00000023277/ENSMUSG00000052374/ENSMUSG00000070462/ENSMUSG00000022451/ENSMUSG00000026131/ENSMUSG00000062929/ENSMUSG00000018417/ENSMUSG00000040699/ENSMUSG00000042895,56,"['ENSMUSG00000029761', 'ENSMUSG00000029622', 'ENSMUSG00000018340', 'ENSMUSG00000028116', 'ENSMUSG00000008475', 'ENSMUSG00000056201', 'ENSMUSG00000009687', 'ENSMUSG00000061723', 'ENSMUSG00000049134', 'ENSMUSG00000028464', 'ENSMUSG00000053931', 'ENSMUSG00000020315', 'ENSMUSG00000030770', 'ENSMUSG00000061086', 'ENSMUSG00000029465', 'ENSMUSG00000079426', 'ENSMUSG00000026755', 'ENSMUSG00000015804', 'ENSMUSG00000025813', 'ENSMUSG00000006304', 'ENSMUSG00000052727', 'ENSMUSG00000031636', 'ENSMUSG00000031799', 'ENSMUSG00000038775', 'ENSMUSG00000079523', 'ENSMUSG00000021493', 'ENSMUSG00000025026', 'ENSMUSG00000025130', 'ENSMUSG00000028273', 'ENSMUSG00000028649', 'ENSMUSG00000026950', 'ENSMUSG00000026418', 'ENSMUSG00000058056', 'ENSMUSG00000063450', 'ENSMUSG00000029581', 'ENSMUSG00000032366', 'ENSMUSG00000020900', 'ENSMUSG00000034595', 'ENSMUSG00000039630', 'ENSMUSG00000005417', 'ENSMUSG00000022836', 'ENSMUSG00000019433', 'ENSMUSG00000018293', 'ENSMUSG00000031078', 'ENSMUSG00000027115', 'ENSMUSG00000009073', 'ENSMUSG00000055775', 'ENSMUSG00000023277', 'ENSMUSG00000052374', 'ENSMUSG00000070462', 'ENSMUSG00000022451', 'ENSMUSG00000026131', 'ENSMUSG00000062929', 'ENSMUSG00000018417', 'ENSMUSG00000040699', 'ENSMUSG00000042895']"
38,39,d4,GO:0003743,translation initiation factor activity,15/1456,56/22537,1.73528801454406e-06,8.82104740726564e-05,7.55002504573556e-05,ENSMUSG00000028798/ENSMUSG00000021282/ENSMUSG00000022884/ENSMUSG00000053565/ENSMUSG00000000355/ENSMUSG00000033047/ENSMUSG00000059796/ENSMUSG00000040731/ENSMUSG00000074895/ENSMUSG00000070319/ENSMUSG00000005610/ENSMUSG00000022336/ENSMUSG00000031029/ENSMUSG00000035530/ENSMUSG00000027170,15,"['ENSMUSG00000028798', 'ENSMUSG00000021282', 'ENSMUSG00000022884', 'ENSMUSG00000053565', 'ENSMUSG00000000355', 'ENSMUSG00000033047', 'ENSMUSG00000059796', 'ENSMUSG00000040731', 'ENSMUSG00000074895', 'ENSMUSG00000070319', 'ENSMUSG00000005610', 'ENSMUSG00000022336', 'ENSMUSG00000031029', 'ENSMUSG00000035530', 'ENSMUSG00000027170']"
39,40,d4,GO:0019829,ATPase-coupled monoatomic cation transmembrane transporter activity,15/1456,57/22537,2.21520219053396e-06,0.0001066794739125,9.1308057050264e-05,ENSMUSG00000015575/ENSMUSG00000006273/ENSMUSG00000024121/ENSMUSG00000022295/ENSMUSG00000033379/ENSMUSG00000039105/ENSMUSG00000004285/ENSMUSG00000013160/ENSMUSG00000030730/ENSMUSG00000029467/ENSMUSG00000021114/ENSMUSG00000019943/ENSMUSG00000027712/ENSMUSG00000025393/ENSMUSG00000038717,15,"['ENSMUSG00000015575', 'ENSMUSG00000006273', 'ENSMUSG00000024121', 'ENSMUSG00000022295', 'ENSMUSG00000033379', 'ENSMUSG00000039105', 'ENSMUSG00000004285', 'ENSMUSG00000013160', 'ENSMUSG00000030730', 'ENSMUSG00000029467', 'ENSMUSG00000021114', 'ENSMUSG00000019943', 'ENSMUSG00000027712', 'ENSMUSG00000025393', 'ENSMUSG00000038717']"
40,41,d4,GO:0005200,structural constituent of cytoskeleton,17/1456,73/22537,3.00427445482135e-06,0.000137445556308,0.0001176410628624,ENSMUSG00000029622/ENSMUSG00000008475/ENSMUSG00000020061/ENSMUSG00000028464/ENSMUSG00000020315/ENSMUSG00000072235/ENSMUSG00000057897/ENSMUSG00000029465/ENSMUSG00000058672/ENSMUSG00000079426/ENSMUSG00000006304/ENSMUSG00000025026/ENSMUSG00000001473/ENSMUSG00000036752/ENSMUSG00000032366/ENSMUSG00000069601/ENSMUSG00000045136,17,"['ENSMUSG00000029622', 'ENSMUSG00000008475', 'ENSMUSG00000020061', 'ENSMUSG00000028464', 'ENSMUSG00000020315', 'ENSMUSG00000072235', 'ENSMUSG00000057897', 'ENSMUSG00000029465', 'ENSMUSG00000058672', 'ENSMUSG00000079426', 'ENSMUSG00000006304', 'ENSMUSG00000025026', 'ENSMUSG00000001473', 'ENSMUSG00000036752', 'ENSMUSG00000032366', 'ENSMUSG00000069601', 'ENSMUSG00000045136']"
41,42,d4,GO:0003712,transcription coregulator activity,59/1456,495/22537,4.08168617079778e-06,0.0001778448974419,0.000152219273738,ENSMUSG00000022338/ENSMUSG00000030795/ENSMUSG00000029440/ENSMUSG00000029478/ENSMUSG00000057113/ENSMUSG00000038722/ENSMUSG00000020423/ENSMUSG00000052293/ENSMUSG00000024803/ENSMUSG00000063524/ENSMUSG00000078941/ENSMUSG00000020397/ENSMUSG00000022255/ENSMUSG00000025151/ENSMUSG00000034269/ENSMUSG00000049800/ENSMUSG00000024218/ENSMUSG00000061650/ENSMUSG00000022521/ENSMUSG00000032294/ENSMUSG00000031622/ENSMUSG00000003444/ENSMUSG00000021359/ENSMUSG00000025616/ENSMUSG00000031839/ENSMUSG00000038773/ENSMUSG00000022205/ENSMUSG00000055839/ENSMUSG00000038965/ENSMUSG00000015092/ENSMUSG00000030213/ENSMUSG00000061887/ENSMUSG00000009079/ENSMUSG00000030801/ENSMUSG00000039630/ENSMUSG00000038056/ENSMUSG00000048154/ENSMUSG00000053477/ENSMUSG00000065954/ENSMUSG00000038845/ENSMUSG00000007721/ENSMUSG00000038622/ENSMUSG00000006050/ENSMUSG00000024498/ENSMUSG00000025917/ENSMUSG00000052374/ENSMUSG00000027206/ENSMUSG00000000581/ENSMUSG00000022019/ENSMUSG00000028899/ENSMUSG00000035960/ENSMUSG00000001472/ENSMUSG00000026434/ENSMUSG00000029655/ENSMUSG00000040097/ENSMUSG00000014402/ENSMUSG00000030291/ENSMUSG00000020801/ENSMUSG00000038954,59,"['ENSMUSG00000022338', 'ENSMUSG00000030795', 'ENSMUSG00000029440', 'ENSMUSG00000029478', 'ENSMUSG00000057113', 'ENSMUSG00000038722', 'ENSMUSG00000020423', 'ENSMUSG00000052293', 'ENSMUSG00000024803', 'ENSMUSG00000063524', 'ENSMUSG00000078941', 'ENSMUSG00000020397', 'ENSMUSG00000022255', 'ENSMUSG00000025151', 'ENSMUSG00000034269', 'ENSMUSG00000049800', 'ENSMUSG00000024218', 'ENSMUSG00000061650', 'ENSMUSG00000022521', 'ENSMUSG00000032294', 'ENSMUSG00000031622', 'ENSMUSG00000003444', 'ENSMUSG00000021359', 'ENSMUSG00000025616', 'ENSMUSG00000031839', 'ENSMUSG00000038773', 'ENSMUSG00000022205', 'ENSMUSG00000055839', 'ENSMUSG00000038965', 'ENSMUSG00000015092', 'ENSMUSG00000030213', 'ENSMUSG00000061887', 'ENSMUSG00000009079', 'ENSMUSG00000030801', 'ENSMUSG00000039630', 'ENSMUSG00000038056', 'ENSMUSG00000048154', 'ENSMUSG00000053477', 'ENSMUSG00000065954', 'ENSMUSG00000038845', 'ENSMUSG00000007721', 'ENSMUSG00000038622', 'ENSMUSG00000006050', 'ENSMUSG00000024498', 'ENSMUSG00000025917', 'ENSMUSG00000052374', 'ENSMUSG00000027206', 'ENSMUSG00000000581', 'ENSMUSG00000022019', 'ENSMUSG00000028899', 'ENSMUSG00000035960', 'ENSMUSG00000001472', 'ENSMUSG00000026434', 'ENSMUSG00000029655', 'ENSMUSG00000040097', 'ENSMUSG00000014402', 'ENSMUSG00000030291', 'ENSMUSG00000020801', 'ENSMUSG00000038954']"
42,43,d4,GO:0031386,protein tag activity,7/1456,13/22537,5.62258581119544e-06,0.0002065803121598,0.0001768142102351,ENSMUSG00000090137/ENSMUSG00000020265/ENSMUSG00000010376/ENSMUSG00000008348/ENSMUSG00000084786/ENSMUSG00000019505/ENSMUSG00000020738,7,"['ENSMUSG00000090137', 'ENSMUSG00000020265', 'ENSMUSG00000010376', 'ENSMUSG00000008348', 'ENSMUSG00000084786', 'ENSMUSG00000019505', 'ENSMUSG00000020738']"
43,44,d4,GO:0141047,molecular tag activity,7/1456,13/22537,5.62258581119544e-06,0.0002065803121598,0.0001768142102351,ENSMUSG00000090137/ENSMUSG00000020265/ENSMUSG00000010376/ENSMUSG00000008348/ENSMUSG00000084786/ENSMUSG00000019505/ENSMUSG00000020738,7,"['ENSMUSG00000090137', 'ENSMUSG00000020265', 'ENSMUSG00000010376', 'ENSMUSG00000008348', 'ENSMUSG00000084786', 'ENSMUSG00000019505', 'ENSMUSG00000020738']"
44,45,d4,GO:0015036,disulfide oxidoreductase activity,11/1456,34/22537,5.64427082403964e-06,0.0002065803121598,0.0001768142102351,ENSMUSG00000033684/ENSMUSG00000024583/ENSMUSG00000025130/ENSMUSG00000020803/ENSMUSG00000028367/ENSMUSG00000025068/ENSMUSG00000034723/ENSMUSG00000020571/ENSMUSG00000005354/ENSMUSG00000021591/ENSMUSG00000031584,11,"['ENSMUSG00000033684', 'ENSMUSG00000024583', 'ENSMUSG00000025130', 'ENSMUSG00000020803', 'ENSMUSG00000028367', 'ENSMUSG00000025068', 'ENSMUSG00000034723', 'ENSMUSG00000020571', 'ENSMUSG00000005354', 'ENSMUSG00000021591', 'ENSMUSG00000031584']"
45,46,d4,GO:0140597,protein carrier chaperone,11/1456,34/22537,5.64427082403964e-06,0.0002065803121598,0.0001768142102351,ENSMUSG00000005069/ENSMUSG00000058799/ENSMUSG00000027076/ENSMUSG00000022217/ENSMUSG00000055943/ENSMUSG00000031819/ENSMUSG00000027282/ENSMUSG00000027131/ENSMUSG00000052456/ENSMUSG00000015749/ENSMUSG00000008958,11,"['ENSMUSG00000005069', 'ENSMUSG00000058799', 'ENSMUSG00000027076', 'ENSMUSG00000022217', 'ENSMUSG00000055943', 'ENSMUSG00000031819', 'ENSMUSG00000027282', 'ENSMUSG00000027131', 'ENSMUSG00000052456', 'ENSMUSG00000015749', 'ENSMUSG00000008958']"
46,47,d4,GO:0003713,transcription coactivator activity,37/1456,266/22537,8.78820310951019e-06,0.0003092771478923,0.0002647134863755,ENSMUSG00000022338/ENSMUSG00000030795/ENSMUSG00000029440/ENSMUSG00000057113/ENSMUSG00000038722/ENSMUSG00000052293/ENSMUSG00000024803/ENSMUSG00000078941/ENSMUSG00000022255/ENSMUSG00000025151/ENSMUSG00000049800/ENSMUSG00000024218/ENSMUSG00000022521/ENSMUSG00000032294/ENSMUSG00000021359/ENSMUSG00000025616/ENSMUSG00000022205/ENSMUSG00000055839/ENSMUSG00000038965/ENSMUSG00000015092/ENSMUSG00000061887/ENSMUSG00000030801/ENSMUSG00000038056/ENSMUSG00000048154/ENSMUSG00000065954/ENSMUSG00000007721/ENSMUSG00000038622/ENSMUSG00000006050/ENSMUSG00000025917/ENSMUSG00000052374/ENSMUSG00000022019/ENSMUSG00000028899/ENSMUSG00000035960/ENSMUSG00000026434/ENSMUSG00000014402/ENSMUSG00000030291/ENSMUSG00000038954,37,"['ENSMUSG00000022338', 'ENSMUSG00000030795', 'ENSMUSG00000029440', 'ENSMUSG00000057113', 'ENSMUSG00000038722', 'ENSMUSG00000052293', 'ENSMUSG00000024803', 'ENSMUSG00000078941', 'ENSMUSG00000022255', 'ENSMUSG00000025151', 'ENSMUSG00000049800', 'ENSMUSG00000024218', 'ENSMUSG00000022521', 'ENSMUSG00000032294', 'ENSMUSG00000021359', 'ENSMUSG00000025616', 'ENSMUSG00000022205', 'ENSMUSG00000055839', 'ENSMUSG00000038965', 'ENSMUSG00000015092', 'ENSMUSG00000061887', 'ENSMUSG00000030801', 'ENSMUSG00000038056', 'ENSMUSG00000048154', 'ENSMUSG00000065954', 'ENSMUSG00000007721', 'ENSMUSG00000038622', 'ENSMUSG00000006050', 'ENSMUSG00000025917', 'ENSMUSG00000052374', 'ENSMUSG00000022019', 'ENSMUSG00000028899', 'ENSMUSG00000035960', 'ENSMUSG00000026434', 'ENSMUSG00000014402', 'ENSMUSG00000030291', 'ENSMUSG00000038954']"
47,48,d4,GO:0043022,ribosome binding,21/1456,114/22537,1.17397780751873e-05,0.0003939970561222,0.0003372261256887,ENSMUSG00000031167/ENSMUSG00000030082/ENSMUSG00000020372/ENSMUSG00000057113/ENSMUSG00000053317/ENSMUSG00000036371/ENSMUSG00000032518/ENSMUSG00000021917/ENSMUSG00000053565/ENSMUSG00000026740/ENSMUSG00000078812/ENSMUSG00000025616/ENSMUSG00000025971/ENSMUSG00000026864/ENSMUSG00000020415/ENSMUSG00000035530/ENSMUSG00000025920/ENSMUSG00000078974/ENSMUSG00000031388/ENSMUSG00000014504/ENSMUSG00000027642,21,"['ENSMUSG00000031167', 'ENSMUSG00000030082', 'ENSMUSG00000020372', 'ENSMUSG00000057113', 'ENSMUSG00000053317', 'ENSMUSG00000036371', 'ENSMUSG00000032518', 'ENSMUSG00000021917', 'ENSMUSG00000053565', 'ENSMUSG00000026740', 'ENSMUSG00000078812', 'ENSMUSG00000025616', 'ENSMUSG00000025971', 'ENSMUSG00000026864', 'ENSMUSG00000020415', 'ENSMUSG00000035530', 'ENSMUSG00000025920', 'ENSMUSG00000078974', 'ENSMUSG00000031388', 'ENSMUSG00000014504', 'ENSMUSG00000027642']"
48,49,d4,GO:1990948,ubiquitin ligase inhibitor activity,6/1456,10/22537,1.20567405152171e-05,0.0003939970561222,0.0003372261256887,ENSMUSG00000058558/ENSMUSG00000071415/ENSMUSG00000063457/ENSMUSG00000028234/ENSMUSG00000061477/ENSMUSG00000059291,6,"['ENSMUSG00000058558', 'ENSMUSG00000071415', 'ENSMUSG00000063457', 'ENSMUSG00000028234', 'ENSMUSG00000061477', 'ENSMUSG00000059291']"
49,50,d4,GO:0050840,extracellular matrix binding,14/1456,58/22537,1.42607936733414e-05,0.0004499526279692,0.0003851190741548,ENSMUSG00000064080/ENSMUSG00000019929/ENSMUSG00000018593/ENSMUSG00000029675/ENSMUSG00000032518/ENSMUSG00000028195/ENSMUSG00000028776/ENSMUSG00000052316/ENSMUSG00000031375/ENSMUSG00000005397/ENSMUSG00000023328/ENSMUSG00000038463/ENSMUSG00000045930/ENSMUSG00000029309,14,"['ENSMUSG00000064080', 'ENSMUSG00000019929', 'ENSMUSG00000018593', 'ENSMUSG00000029675', 'ENSMUSG00000032518', 'ENSMUSG00000028195', 'ENSMUSG00000028776', 'ENSMUSG00000052316', 'ENSMUSG00000031375', 'ENSMUSG00000005397', 'ENSMUSG00000023328', 'ENSMUSG00000038463', 'ENSMUSG00000045930', 'ENSMUSG00000029309']"
50,51,d4,GO:0008320,protein transmembrane transporter activity,8/1456,20/22537,1.85894960971723e-05,0.0005669796309637,0.0004852836875893,ENSMUSG00000030082/ENSMUSG00000021248/ENSMUSG00000031158/ENSMUSG00000022427/ENSMUSG00000013701/ENSMUSG00000093904/ENSMUSG00000078974/ENSMUSG00000002984,8,"['ENSMUSG00000030082', 'ENSMUSG00000021248', 'ENSMUSG00000031158', 'ENSMUSG00000022427', 'ENSMUSG00000013701', 'ENSMUSG00000093904', 'ENSMUSG00000078974', 'ENSMUSG00000002984']"
51,52,d4,GO:0022884,macromolecule transmembrane transporter activity,9/1456,26/22537,2.18618590202631e-05,0.0006452774517271,0.0005522995963013,ENSMUSG00000030082/ENSMUSG00000021248/ENSMUSG00000022822/ENSMUSG00000031158/ENSMUSG00000022427/ENSMUSG00000013701/ENSMUSG00000093904/ENSMUSG00000078974/ENSMUSG00000002984,9,"['ENSMUSG00000030082', 'ENSMUSG00000021248', 'ENSMUSG00000022822', 'ENSMUSG00000031158', 'ENSMUSG00000022427', 'ENSMUSG00000013701', 'ENSMUSG00000093904', 'ENSMUSG00000078974', 'ENSMUSG00000002984']"
52,53,d4,GO:0140104,molecular carrier activity,18/1456,94/22537,2.81940007594903e-05,0.0008061722092166,0.0006900110712191,ENSMUSG00000062797/ENSMUSG00000018585/ENSMUSG00000005069/ENSMUSG00000058799/ENSMUSG00000020290/ENSMUSG00000027076/ENSMUSG00000022217/ENSMUSG00000000131/ENSMUSG00000073940/ENSMUSG00000055943/ENSMUSG00000031819/ENSMUSG00000027282/ENSMUSG00000027131/ENSMUSG00000052456/ENSMUSG00000015749/ENSMUSG00000008450/ENSMUSG00000052305/ENSMUSG00000008958,18,"['ENSMUSG00000062797', 'ENSMUSG00000018585', 'ENSMUSG00000005069', 'ENSMUSG00000058799', 'ENSMUSG00000020290', 'ENSMUSG00000027076', 'ENSMUSG00000022217', 'ENSMUSG00000000131', 'ENSMUSG00000073940', 'ENSMUSG00000055943', 'ENSMUSG00000031819', 'ENSMUSG00000027282', 'ENSMUSG00000027131', 'ENSMUSG00000052456', 'ENSMUSG00000015749', 'ENSMUSG00000008450', 'ENSMUSG00000052305', 'ENSMUSG00000008958']"
53,54,d4,GO:0032977,membrane insertase activity,7/1456,17/22537,5.06298123665845e-05,0.0014038266156189,0.0012015496140586,ENSMUSG00000027076/ENSMUSG00000022217/ENSMUSG00000055943/ENSMUSG00000031819/ENSMUSG00000027282/ENSMUSG00000027131/ENSMUSG00000052456,7,"['ENSMUSG00000027076', 'ENSMUSG00000022217', 'ENSMUSG00000055943', 'ENSMUSG00000031819', 'ENSMUSG00000027282', 'ENSMUSG00000027131', 'ENSMUSG00000052456']"
54,55,d4,GO:0009055,electron transfer activity,12/1456,50/22537,6.15752276715371e-05,0.0016570980388075,0.001418327225623,ENSMUSG00000079677/ENSMUSG00000025968/ENSMUSG00000022551/ENSMUSG00000000088/ENSMUSG00000033938/ENSMUSG00000012428/ENSMUSG00000059734/ENSMUSG00000032051/ENSMUSG00000027809/ENSMUSG00000026260/ENSMUSG00000037916/ENSMUSG00000020153,12,"['ENSMUSG00000079677', 'ENSMUSG00000025968', 'ENSMUSG00000022551', 'ENSMUSG00000000088', 'ENSMUSG00000033938', 'ENSMUSG00000012428', 'ENSMUSG00000059734', 'ENSMUSG00000032051', 'ENSMUSG00000027809', 'ENSMUSG00000026260', 'ENSMUSG00000037916', 'ENSMUSG00000020153']"
55,56,d4,GO:0061650,ubiquitin-like protein conjugating enzyme activity,11/1456,43/22537,6.6220467325185e-05,0.0017311922172155,0.0014817451936823,ENSMUSG00000062963/ENSMUSG00000015120/ENSMUSG00000024073/ENSMUSG00000038965/ENSMUSG00000078578/ENSMUSG00000016308/ENSMUSG00000005575/ENSMUSG00000022663/ENSMUSG00000091896/ENSMUSG00000020307/ENSMUSG00000021774,11,"['ENSMUSG00000062963', 'ENSMUSG00000015120', 'ENSMUSG00000024073', 'ENSMUSG00000038965', 'ENSMUSG00000078578', 'ENSMUSG00000016308', 'ENSMUSG00000005575', 'ENSMUSG00000022663', 'ENSMUSG00000091896', 'ENSMUSG00000020307', 'ENSMUSG00000021774']"
56,57,d4,GO:0051787,misfolded protein binding,7/1456,18/22537,7.82308868463081e-05,0.0019719378354494,0.0016878018401775,ENSMUSG00000022365/ENSMUSG00000039615/ENSMUSG00000004460/ENSMUSG00000026849/ENSMUSG00000026864/ENSMUSG00000002064/ENSMUSG00000018442,7,"['ENSMUSG00000022365', 'ENSMUSG00000039615', 'ENSMUSG00000004460', 'ENSMUSG00000026849', 'ENSMUSG00000026864', 'ENSMUSG00000002064', 'ENSMUSG00000018442']"
